n,0.1
n,0.1
n,0.1
n,0.1
n,0.1
n,0.1
0000000000000000
n,0.3
n,0.3
n,0.3
n,0.3
n,0.3
n,0.3
n,0.3
n,0.3
n,0.3
n,0.3
n,0.3
n,0.3
n,0.3
n,0.3
n,0.3
n,0.3
n,0.3
0000000000000000
n,0.5
n,0.5
n,0.5
n,0.5
n,0.5
n,0.5
n,0.5
n,0.5
n,0.5
n,0.5
n,0.5
n,0.5
n,0.5
n,0.5
n,0.5
n,0.5
n,0.5
n,0.5
n,0.5
n,0.5
n,0.5
n,0.5
n,0.5
n,0.5
n,0.5
n,0.5
0000000000000000
n,0.7
n,0.7
n,0.7
n,0.7
n,0.7
n,0.7
n,0.7
n,0.7
n,0.7
n,0.7
n,0.7
n,0.7
n,0.7
n,0.7
n,0.7
n,0.7
n,0.7
n,0.7
n,0.7
n,0.7
n,0.7
n,0.7
n,0.7
n,0.7
n,0.7
n,0.7
n,0.7
n,0.7
n,0.7
n,0.7
n,0.7
n,0.7
n,0.7
n,0.7
0000000000000000
n,0.9
n,0.9
n,0.898515
n,0.9
n,0.895603
n,0.9
n,0.879268
n,0.9
n,0.9
n,0.9
n,0.9
n,0.898734
n,0.9
n,0.9
n,0.9
n,0.9
n,0.9
n,0.9
n,0.9
n,0.9
n,0.9
n,0.9
n,0.9
n,0.9
n,0.9
n,0.9
n,0.9
n,0.9
n,0.9
n,0.9
n,0.9
n,0.9
n,0.9
n,0.9
n,0.9
n,0.9
n,0.9
n,0.879304
n,0.9
n,0.9
n,0.9
n,0.9
n,0.9
0000000000000000
